开始时间,结束时间,粒度,云环境,主机ID,主机名称,主机CPU使用率(%),主机磁盘读IOPS(IO/s),主机磁盘写IOPS(IO/s),主机平均内存使用率(%),物理机入向平均网络利用率(包括主备网卡)(%),物理机出向平均网络利用率(包括主备网卡)(%),主机Hypervisor进程CPU利用率(%),主机Hypervisor内存使用率(%),主机平均磁盘使用率(%),主机磁盘平均读时延(ms),主机磁盘平均写时延(ms)
2023-01-18 09:00:00,2023-01-18 09:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.57,0.02,3.3331,,,,2.81,9.72,,0.17,0.1
2023-01-18 08:55:00,2023-01-18 09:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,28.09,0.0233,2.6534,90.5945,0.3113,0.6115,3.09,9.71,6.8218,0.0,0.04
2023-01-18 08:50:00,2023-01-18 08:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,26.09,0.0233,2.5301,90.5953,0.5539,0.496,2.9,9.7,6.8218,0.29,0.03
2023-01-18 08:45:00,2023-01-18 08:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.84,0.02,2.4931,90.5926,0.3401,0.2716,2.56,9.64,6.8218,0.0,0.03
2023-01-18 08:40:00,2023-01-18 08:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.4,0.0233,6.5239,90.593,0.3683,0.1898,2.6,9.66,6.8218,0.0,0.05
2023-01-18 08:35:00,2023-01-18 08:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.07,0.0233,2.5899,90.5919,0.4173,0.2191,2.69,9.67,6.8218,0.14,0.04
2023-01-18 08:30:00,2023-01-18 08:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.85,0.02,2.6165,90.5945,0.4073,0.2952,2.55,9.7,6.8168,0.0,0.03
2023-01-18 08:25:00,2023-01-18 08:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.19,0.0233,2.5535,90.5942,0.2274,0.0818,2.55,9.7,6.8168,0.14,0.04
2023-01-18 08:20:00,2023-01-18 08:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,26.07,0.0233,2.45,90.5939,0.2683,0.0577,2.86,9.7,6.8168,0.0,0.04
2023-01-18 08:15:00,2023-01-18 08:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.84,0.02,2.5034,90.5957,0.3208,0.0404,2.74,9.71,6.8168,0.0,0.05
2023-01-18 08:10:00,2023-01-18 08:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.98,0.0233,6.4463,90.5935,0.1268,0.1504,2.71,9.73,6.8168,0.14,0.07
2023-01-18 08:05:00,2023-01-18 08:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.6,0.0233,2.6003,90.5947,0.0149,0.0385,2.45,9.7,6.8168,0.0,0.05
2023-01-18 08:00:00,2023-01-18 08:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.71,0.02,3.3597,90.5944,0.0072,0.0384,2.38,9.62,6.8168,0.0,0.12
2023-01-18 07:55:00,2023-01-18 08:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.41,0.0233,2.5333,90.5925,0.0395,0.0355,2.46,9.65,6.8118,0.14,0.04
2023-01-18 07:50:00,2023-01-18 07:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.67,0.0233,3.0233,90.5943,0.0024,0.0267,2.67,9.63,6.8118,0.0,0.04
2023-01-18 07:45:00,2023-01-18 07:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.21,0.02,2.5202,90.5943,0.0027,0.0268,2.86,9.66,6.8118,0.0,0.03
2023-01-18 07:40:00,2023-01-18 07:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.95,0.0233,6.4259,90.5939,0.0027,0.0276,2.67,9.66,6.8118,0.0,0.06
2023-01-18 07:35:00,2023-01-18 07:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.28,0.0233,2.6567,90.5946,0.0021,0.0248,2.46,9.7,6.8118,0.0,0.05
2023-01-18 07:30:00,2023-01-18 07:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.09,0.02,2.4,90.5933,0.0067,0.0305,2.5,9.62,6.8118,0.0,0.04
2023-01-18 07:25:00,2023-01-18 07:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.94,0.0233,2.587,90.5939,0.0025,0.025,2.36,9.66,6.8067,0.0,0.03
2023-01-18 07:20:00,2023-01-18 07:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.09,0.0233,2.623,90.5926,0.0026,0.0283,2.35,9.61,6.8067,0.0,0.04
2023-01-18 07:15:00,2023-01-18 07:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.96,0.02,2.5801,90.5927,0.0038,0.0408,2.55,9.69,6.8067,0.17,0.04
2023-01-18 07:10:00,2023-01-18 07:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.43,0.0233,3.3001,90.5938,0.0064,0.0403,2.15,9.66,6.8067,0.14,0.04
2023-01-18 07:05:00,2023-01-18 07:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.84,0.0233,5.8167,90.5981,0.004,0.0421,2.54,9.73,6.8067,0.14,0.04
