开始时间,结束时间,粒度,云环境,服务器ID,服务器名称,服务器当前使用功率(W),CPU温度(℃)
2023-01-18 09:00:00,2023-01-18 09:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,56.0
2023-01-18 08:55:00,2023-01-18 09:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,649,55.5
2023-01-18 08:50:00,2023-01-18 08:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,667,55.0
2023-01-18 08:45:00,2023-01-18 08:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,694,56.0
2023-01-18 08:40:00,2023-01-18 08:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,55.25
2023-01-18 08:35:00,2023-01-18 08:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,686,56.5
2023-01-18 08:30:00,2023-01-18 08:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,679,56.25
2023-01-18 08:25:00,2023-01-18 08:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,672,55.25
2023-01-18 08:20:00,2023-01-18 08:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,680,56.0
2023-01-18 08:15:00,2023-01-18 08:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,691,56.25
2023-01-18 08:10:00,2023-01-18 08:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,673,55.5
2023-01-18 08:05:00,2023-01-18 08:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,695,54.5
2023-01-18 08:00:00,2023-01-18 08:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,671,55.25
2023-01-18 07:55:00,2023-01-18 08:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,662,54.25
2023-01-18 07:50:00,2023-01-18 07:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,650,54.75
2023-01-18 07:45:00,2023-01-18 07:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,654,54.5
2023-01-18 07:40:00,2023-01-18 07:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,663,56.0
2023-01-18 07:35:00,2023-01-18 07:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,55.25
2023-01-18 07:30:00,2023-01-18 07:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,653,54.5
2023-01-18 07:25:00,2023-01-18 07:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,699,55.25
2023-01-18 07:20:00,2023-01-18 07:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,645,54.25
2023-01-18 07:15:00,2023-01-18 07:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,660,56.0
2023-01-18 07:10:00,2023-01-18 07:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,654,54.25
2023-01-18 07:05:00,2023-01-18 07:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,53.25
2023-01-18 07:00:00,2023-01-18 07:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,653,54.5
2023-01-18 06:55:00,2023-01-18 07:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,54.75
2023-01-18 06:50:00,2023-01-18 06:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,674,54.25
